"city, province_name",lat,lng,population,density
"Candiac, Quebec",45.3800,-73.5200,21047,1215.8
"Oro-Medonte, Ontario",44.5667,-79.5833,21036,35.8
"Varennes, Quebec",45.6833,-73.4333,20994,226.9
"Strathroy-Caradoc, Ontario",42.9575,-81.6167,20867,77.1
"Wasaga Beach, Ontario",44.5206,-80.0167,20675,352.6
"New Glasgow, Nova Scotia",45.5926,-62.6455,20609,911.6
"Wilmot, Ontario",43.4000,-80.6500,20545,77.9
"Essex, Ontario",42.0833,-82.9000,20427,73.5
"Fort St. John, British Columbia",56.2465,-120.8476,20155,820.2
"Kirkland, Quebec",45.4500,-73.8667,20151,2204.4
"L’Assomption, Quebec",45.8333,-73.4167,20065,202.9
"Westmount, Quebec",45.4833,-73.6000,19931,4952.8
"Saint-Lazare, Quebec",45.4000,-74.1333,19889,289.6
"Chestermere, Alberta",51.0500,-113.8225,19887,603.8
"Huntsville, Ontario",45.3333,-79.2167,19816,27.9
"Corner Brook, Newfoundland and Labrador",48.9287,-57.9260,19806.00,133.60
"Riverview, New Brunswick",46.0613,-64.8052,19667,554.8
"Lloydminster, Alberta",53.2807,-110.0350,19645.00,817.30
"Joliette, Quebec",46.0167,-73.4500,19621,860.3
"Yellowknife, Northwest Territories",62.4709,-114.4053,19569.00,185.50
"Squamish, British Columbia",49.7017,-123.1589,19512,186.1
"Mont-Royal, Quebec",45.5161,-73.6431,19503,2545.3
"Rivière-du-Loup, Quebec",47.8333,-69.5333,19447,230.9
"Cobourg, Ontario",43.9667,-78.1667,19440,869.3
"Cranbrook, British Columbia",49.5097,-115.7667,19259,604.7
"Beaconsfield, Quebec",45.4333,-73.8667,19115,1752.6
"Springwater, Ontario",44.4333,-79.7333,19059,35.5
"Dorval, Quebec",45.4500,-73.7500,18980,839.2
"Thorold, Ontario",43.1167,-79.2000,18801,226.5
"Camrose, Alberta",53.0167,-112.8333,18742,439.8
"South Frontenac, Ontario",44.5081,-76.4939,18646,19.2
"Pitt Meadows, British Columbia",49.2333,-122.6833,18573,214.7
"Port Colborne, Ontario",42.8833,-79.2500,18306,150.1
"Quispamsis, New Brunswick",45.4322,-65.9462,18245,318.9
"Mont-Saint-Hilaire, Quebec",45.5622,-73.1917,18200,410.9
"Bathurst, New Brunswick",47.6200,-65.6500,18154,129.3
"Saint-Augustin-de-Desmaures, Quebec",46.7333,-71.4667,18141,211.5
"Oak Bay, British Columbia",48.4264,-123.3228,18094,1717.7
"Sainte-Marthe-sur-le-Lac, Quebec",45.5300,-73.9300,18074,2066.7
"Salmon Arm, British Columbia",50.7022,-119.2722,17706,144.0
"Port Alberni, British Columbia",49.2339,-124.8050,17678,894.6
"Esquimalt, British Columbia",48.4306,-123.4147,17655,2494.7
"Deux-Montagnes, Quebec",45.5333,-73.8833,17553,2850.1
"Miramichi, New Brunswick",47.0196,-65.5072,17537.00,97.70
"Niagara-on-the-Lake, Ontario",43.2553,-79.0717,17511,131.8
"Saint-Lin--Laurentides, Quebec",45.8500,-73.7667,17463,147.3
"Beaumont, Alberta",53.3572,-113.4147,17396,1661.1
"Middlesex Centre, Ontario",43.0500,-81.4500,17262,29.4
"Inverness, Nova Scotia",46.2000,-61.1000,17235,4.5
"Stony Plain, Alberta",53.5264,-114.0069,17189,481.2
"Petawawa, Ontario",45.9000,-77.2833,17187,103.1
"Pelham, Ontario",43.0333,-79.3333,17110,135.3
"Selwyn, Ontario",44.4167,-78.3333,17060,54.0
"Loyalist, Ontario",44.2500,-76.7500,16971,49.8
"Midland, Ontario",44.7500,-79.8833,16864,477.3
"Colwood, British Columbia",48.4236,-123.4958,16859,954.2
"Central Saanich, British Columbia",48.5142,-123.3839,16814,406.8
"Sainte-Catherine, Quebec",45.4000,-73.5800,16762,1764.1
"Port Hope, Ontario",43.9500,-78.3000,16753,60.1
"L’Ancienne-Lorette, Quebec",46.8000,-71.3500,16745,2193.6
"Saint-Basile-le-Grand, Quebec",45.5333,-73.2833,16736,463.6
"Swift Current, Saskatchewan",50.2881,-107.7939,16604,566.5
"Edmundston, New Brunswick",47.3765,-68.3253,16580,155.2
"Russell, Ontario",45.2569,-75.3583,16520,83.0
"North Grenville, Ontario",44.9667,-75.6500,16451,46.7
"Yorkton, Saskatchewan",51.2139,-102.4628,16343,449.9
"Tracadie, New Brunswick",47.5124,-64.9101,16114.00,31.20
"Bracebridge, Ontario",45.0333,-79.3000,16010,25.5
"Greater Napanee, Ontario",44.2500,-76.9500,15892,34.5
"Tillsonburg, Ontario",42.8667,-80.7333,15872,710.8
"Steinbach, Manitoba",49.5258,-96.6839,15829,618.6
"Hanover, Manitoba",49.4433,-96.8492,15733,21.2
"Terrace, British Columbia",54.5164,-128.5997,15723,212.7
"Springfield, Manitoba",49.9292,-96.6939,15342,13.9
"Gaspé, Quebec",48.8333,-64.4833,15163,13.5
"Kenora, Ontario",49.7667,-94.4833,15096,71.3
"Cold Lake, Alberta",54.4642,-110.1825,14961,249.7
"Summerside, Prince Edward Island",46.4000,-63.7833,14829,520.5
"Comox, British Columbia",49.6733,-124.9022,14828,838.2
"Sylvan Lake, Alberta",52.3083,-114.0964,14816,634.2
"Pincourt, Quebec",45.3833,-73.9833,14558,2048.1
"West Lincoln, Ontario",43.0667,-79.5667,14500,37.4
"Matane, Quebec",48.8500,-67.5333,14462,74.0
"Brooks, Alberta",50.5642,-111.8989,14451,777.3
"Sainte-Anne-des-Plaines, Quebec",45.7617,-73.8204,14421.00,154.10
"West Nipissing / Nipissing Ouest, Ontario",46.3667,-79.9167,14364,7.2
"Rosemère, Quebec",45.6369,-73.8000,14294,1326.9
"Mistassini, Quebec",48.8229,-72.2154,14250.00,48.20
"Grand Falls, Newfoundland and Labrador",48.9578,-55.6633,14171.00,259.20
"Clearview, Ontario",44.3981,-80.0742,14151,25.4
"St. Clair, Ontario",42.7833,-82.3500,14086,22.8
"Canmore, Alberta",51.0890,-115.3590,13992,201.5
"North Battleford, Saskatchewan",52.7575,-108.2861,13888,414.0
"Pembroke, Ontario",45.8167,-77.1000,13882,953.3
"Mont-Laurier, Quebec",46.5500,-75.5000,13779,23.3
"Strathmore, Alberta",51.0378,-113.4003,13756,502.0
"Saugeen Shores, Ontario",44.4333,-81.3667,13715,80.2
"Thompson, Manitoba",55.7433,-97.8553,13678,657.91
"Lavaltrie, Quebec",45.8833,-73.2833,13657,199.7
"High River, Alberta",50.5808,-113.8744,13584,635.1
"Severn, Ontario",44.7500,-79.5167,13477,24.5
"Sainte-Sophie, Quebec",45.8200,-73.9000,13375,120.2
"Saint-Charles-Borromée, Quebec",46.0500,-73.4667,13321,715.0
"Portage La Prairie, Manitoba",49.9728,-98.2919,13304,539.1
"Thames Centre, Ontario",43.0300,-81.0800,13191,30.4
"Mississippi Mills, Ontario",45.2167,-76.2000,13163,25.3
"Powell River, British Columbia",49.8353,-124.5247,13157,444.1
"South Glengarry, Ontario",45.2000,-74.5833,13150,21.7
"North Perth, Ontario",43.7300,-80.9500,13130,26.6
"Mercier, Quebec",45.3200,-73.7500,13115,284.6
"South Stormont, Ontario",45.0833,-74.9667,13110,28.2
"Saint-Colomban, Quebec",45.7300,-74.1300,13080,139.8
"Lacombe, Alberta",52.4683,-113.7369,13057,627.5
"Sooke, British Columbia",48.3761,-123.7378,13001,229.6
"Dawson Creek, British Columbia",55.7606,-120.2356,12978,475.4
"Lake Country, British Columbia",50.0833,-119.4142,12922,105.8
"Trent Hills, Ontario",44.3142,-77.8514,12900,25.2
"Sainte-Marie, Quebec",46.4500,-71.0333,12889,120.3
"Guelph/Eramosa, Ontario",43.6300,-80.2200,12854,44.1
"Truro, Nova Scotia",45.3647,-63.2800,12826,355.5
"Amos, Quebec",48.5667,-78.1167,12823,29.8
"The Nation / La Nation, Ontario",45.3500,-75.0333,12808,19.5
"Ingersoll, Ontario",43.0392,-80.8836,12757,1000.7
"Winkler, Manitoba",49.1817,-97.9397,12660,740.5
"Wetaskiwin, Alberta",52.9694,-113.3769,12655,691.1
"Central Elgin, Ontario",42.7667,-81.1000,12607,45.0
"Lachute, Quebec",45.6500,-74.3333,12551,114.9
"West Grey, Ontario",44.1833,-80.8167,12518,14.3
"Parksville, British Columbia",49.3150,-124.3120,12514,854.6
"Cowansville, Quebec",45.2000,-72.7500,12489,271.0
"Bécancour, Quebec",46.3333,-72.4333,12438,28.2
"Gravenhurst, Ontario",44.9167,-79.3667,12311,23.8
"Perth East, Ontario",43.4700,-80.9500,12261,17.2
"Prince Rupert, British Columbia",54.3122,-130.3271,12220,227.7
"Prévost, Quebec",45.8700,-74.0800,12171,347.2
"Sainte-Adèle, Quebec",45.9500,-74.1300,12137,100.4
"Kentville, Nova Scotia",45.0775,-64.4958,12088,363.3
"Beauharnois, Quebec",45.3200,-73.8700,12011,173.9
"Les Îles-de-la-Madeleine, Quebec",47.3833,-61.8667,12010,69.5
"Wellington North, Ontario",43.9000,-80.5700,11914,22.6
"St. Andrews, Manitoba",50.2700,-96.9747,11913,15.8
"Carleton Place, Ontario",45.1333,-76.1333,11901,1176.2
"Whistler, British Columbia",50.1208,-122.9544,11854,49.3
"Brighton, Ontario",44.1222,-77.7642,11844,43.2
"Tiny, Ontario",44.6833,-79.9500,11787,35.0
"Gander, Newfoundland and Labrador",48.9569,-54.6089,11688,112.1
"Sidney, British Columbia",48.6506,-123.3986,11672,2290.7
"Rothesay, New Brunswick",45.3831,-65.9969,11659,335.8
"Brock, Ontario",44.3167,-79.0833,11642,27.5
"Summerland, British Columbia",49.6006,-119.6778,11615,156.8
"Val-des-Monts, Quebec",45.6500,-75.6667,11582,26.2
"Taché, Manitoba",49.7081,-96.6736,11568,19.9
"Montmagny, Quebec",46.9833,-70.5500,11491,91.1
"Erin, Ontario",43.7667,-80.0667,11439,38.4
"Kincardine, Ontario",44.1667,-81.6333,11389,21.2
"North Dundas, Ontario",45.0833,-75.3500,11278,22.4
"Wellesley, Ontario",43.5500,-80.7167,11260,40.5
"Estevan, Saskatchewan",49.1392,-102.9861,11258,586.6
"North Saanich, British Columbia",48.6142,-123.4200,11249,301.8
"Warman, Saskatchewan",52.3219,-106.5842,11020,844.6
"La Tuque, Quebec",48.0652,-74.0528,11001.00,0.40
"Norwich, Ontario",42.9833,-80.6000,11001,25.5
"Meaford, Ontario",44.5800,-80.7300,10991,18.7
"Adjala-Tosorontio, Ontario",44.1333,-79.9333,10975,29.5
"Hamilton Township, Ontario",44.0540,-78.2164,10942.00,42.70
"St. Clements, Manitoba",50.2689,-96.6742,10876,14.9
"Saint-Amable, Quebec",45.6500,-73.3000,10870,296.3
"Weyburn, Saskatchewan",49.6611,-103.8525,10870,688.8
"South Dundas, Ontario",44.9167,-75.2667,10833,20.8
"L’Île-Perrot, Quebec",45.3833,-73.9500,10756,1955.6
"Notre-Dame-de-l'Île-Perrot, Quebec",45.3667,-73.9333,10756,386.9
"Williams Lake, British Columbia",52.1294,-122.1383,10753,327.0
"Elliot Lake, Ontario",46.3833,-82.6500,10741,15.9
"Cantley, Quebec",45.5667,-75.7833,10699,83.4
"Nelson, British Columbia",49.5000,-117.2833,10664,1552.3
"Lambton Shores, Ontario",43.1833,-81.9000,10631,32.1
"Mapleton, Ontario",43.7358,-80.6681,10527.00,19.70
"Georgian Bluffs, Ontario",44.6500,-81.0333,10479,17.3
"Rawdon, Quebec",46.0500,-73.7167,10416,55.7
"Campbellton, New Brunswick",48.0050,-66.6731,10411,370.5
"View Royal, British Columbia",48.4517,-123.4339,10408,724.8
"Coldstream, British Columbia",50.2200,-119.2481,10314,155.6
"Chester, Nova Scotia",44.6500,-64.3000,10310,9.2
"Queens, Nova Scotia",44.0333,-64.7167,10307,4.3
"Selkirk, Manitoba",50.1436,-96.8839,10278,413.4
"Saint-Félicien, Quebec",48.6500,-72.4500,10278,28.3
"Hawkesbury, Ontario",45.6000,-74.6000,10263,1067.3
"Roberval, Quebec",48.5200,-72.2300,10227,66.8
"Sainte-Agathe-des-Monts, Quebec",46.0500,-74.2800,10223,78.6
"North Dumfries, Ontario",43.3200,-80.3800,10215,54.5
"Rideau Lakes, Ontario",44.6667,-76.2167,10207,14.0
"Sechelt, British Columbia",49.4742,-123.7542,10200,212.9
"North Glengarry, Ontario",45.3333,-74.7333,10109,15.7
"South Huron, Ontario",43.3200,-81.5000,10096,23.4
"Marieville, Quebec",45.4333,-73.1667,10094,160.8
"Tay, Ontario",44.7167,-79.7667,10033,72.1
"Temiskaming Shores, Ontario",47.5167,-79.6833,9920,55.7
"Hinton, Alberta",53.4114,-117.5639,9882,294.8
"Saint-Sauveur, Quebec",45.9000,-74.1700,9881,206.8
"Quesnel, British Columbia",52.9784,-122.4927,9879,279.2
"Elizabethtown-Kitley, Ontario",44.7000,-75.8833,9854,17.7
"Morinville, Alberta",53.8022,-113.6497,9848,882.8
"Grey Highlands, Ontario",44.3333,-80.5000,9804,11.1
"Stratford, Prince Edward Island",46.2167,-63.0893,9706,430.8
"Alfred and Plantagenet, Ontario",45.5667,-74.9167,9680,24.7
"Mont-Tremblant, Quebec",46.1167,-74.6000,9646,40.5
"Martensville, Saskatchewan",52.2897,-106.6667,9645,1421.2
"Saint-Raymond, Quebec",46.9000,-71.8333,9615,14.3
"Amherst, Nova Scotia",45.8167,-64.2167,9550,779.7
"Ramara, Ontario",44.6333,-79.2167,9488,22.7
"Bois-des-Filion, Quebec",45.6667,-73.7500,9485,2216.2
"Leeds and the Thousand Islands, Ontario",44.4500,-76.0800,9465,15.1
"Carignan, Quebec",45.4500,-73.3000,9462,151.9
"Brockton, Ontario",44.1667,-81.2167,9461,16.7
"Laurentian Valley, Ontario",45.7681,-77.2239,9387,17.0
"East St. Paul, Manitoba",49.9772,-97.0103,9372,222.6
"Lorraine, Quebec",45.6833,-73.7833,9352,1570.0
"Sainte-Julienne, Quebec",45.9700,-73.7200,9331,94.0
"Blackfalds, Alberta",52.3833,-113.8000,9328,567.3
"Malahide, Ontario",42.7928,-80.9361,9292,23.5
"Oromocto, New Brunswick",45.8488,-66.4788,9223,411.0
"Olds, Alberta",51.7928,-114.1067,9184,615.3
"Huron East, Ontario",43.6300,-81.2800,9138,13.8
"Stanley, Manitoba",49.1331,-98.0656,9038.00,10.80
"Penetanguishene, Ontario",44.7667,-79.9333,8962,350.3
"Qualicum Beach, British Columbia",49.3500,-124.4333,8943,497.4
"Notre-Dame-des-Prairies, Quebec",46.0500,-73.4333,8868,487.3
"West Perth, Ontario",43.4700,-81.2000,8865,15.3
"Cavan Monaghan, Ontario",44.2000,-78.4667,8829,28.8
"Arnprior, Ontario",45.4333,-76.3500,8795,672.7
"Smiths Falls, Ontario",44.9000,-76.0167,8780,909.1
"Pont-Rouge, Quebec",46.7500,-71.7000,8723,72.0
"Champlain, Ontario",45.5333,-74.6500,8706,42.0
"Coaticook, Quebec",45.1333,-71.8000,8698,39.6
"Minto, Ontario",43.9167,-80.8667,8671,28.8
"Morden, Manitoba",49.1919,-98.1006,8668,401.0
"Mono, Ontario",44.0167,-80.0667,8609,31.0
"Corman Park No. 344, Saskatchewan",52.2291,-106.8002,8568.00,4.50
"Ladysmith, British Columbia",48.9975,-123.8203,8537,711.9
"Bridgewater, Nova Scotia",44.3700,-64.5200,8532,625.9
"Dauphin, Manitoba",51.1992,-100.0633,8457.00,670.70
"Otterburn Park, Quebec",45.5333,-73.2167,8450,1580.6
"Taber, Alberta",49.7847,-112.1508,8428,537.9
"South Bruce Peninsula, Ontario",44.7333,-81.2000,8416,15.8
"Edson, Alberta",53.5817,-116.4344,8414,283.1
"Farnham, Quebec",45.2833,-72.9833,8330,90.5
"Kapuskasing, Ontario",49.4167,-82.4333,8292,98.3
"La Malbaie, Quebec",47.6500,-70.1500,8271,18.0
"Renfrew, Ontario",45.4717,-76.6831,8223,643.4
"Coaldale, Alberta",49.7333,-112.6167,8215,1028.5
"Portugal Cove-St. Philip's, Newfoundland and Labrador",47.6272,-52.8506,8147,128.4
"Zorra, Ontario",43.1500,-80.9500,8138,15.4
