"city, state_name",lat,lng,population,density
"Santa Cruz, California",36.9789,-122.0346,176428.0,1957
"Danbury, Connecticut",41.4016,-73.4710,176030.0,779
"Peoria, Arizona",33.7844,-112.2989,175961,386
"Oceanside, California",33.2247,-117.3083,175742,1644
"Elk Grove, California",38.4160,-121.3842,174775,1605
"Pembroke Pines, Florida",26.0128,-80.3382,173591,2051
"Vallejo, California",38.1133,-122.2358,173256.0,1524
"Garden Grove, California",33.7787,-117.9601,171644,3690
"Medford, Oregon",42.3372,-122.8537,170876.0,1243
"Cary, North Carolina",35.7820,-78.8191,170282,1119
"Marysville, Washington",48.0809,-122.1561,170009.0,1308
"Corona, California",33.8616,-117.5649,169868,1640
"Ocala, Florida",29.1780,-82.1511,169383.0,496
"Fredericksburg, Virginia",38.2992,-77.4872,168909.0,1072
"Gainesville, Georgia",34.2903,-83.8301,167371.0,506
"Bayamón, Puerto Rico",18.3793,-66.1635,165383,2366
"Enterprise, Nevada",36.0164,-115.2208,164314,1240
"Manchester, New Hampshire",42.9848,-71.4447,162877.0,1315
"Champaign, Illinois",40.1144,-88.2735,159443.0,1503
"Alexandria, Virginia",38.8185,-77.0861,159428,4121
"Hayward, California",37.6328,-122.0772,159203,1349
"Springfield, Illinois",39.7710,-89.6538,158509.0,723
"Lakewood, Colorado",39.6977,-105.1168,157935,1416
"Lafayette, Indiana",40.3990,-86.8594,157820.0,942
"Frederick, Maryland",39.4336,-77.4141,156787.0,1172
"Lake Charles, Louisiana",30.2012,-93.2122,156181.0,674
"Odessa, Texas",31.8831,-102.3406,155998.0,1052
"Tuscaloosa, Alabama",33.2348,-87.5267,155499.0,631
"Warner Robins, Georgia",32.5970,-83.6529,155140.0,805
"Palmdale, California",34.5944,-118.1057,155079,564
"Hollywood, Florida",26.0294,-80.1679,154817,2192
"Midland, Texas",32.0249,-102.1137,154793.0,758
"Leesburg, Florida",28.7657,-81.8996,154574.0,249
"Port Arthur, Texas",29.8554,-93.9264,154468.0,272
"Muskegon, Michigan",43.2281,-86.2563,153565.0,998
"Macon, Georgia",32.8065,-83.6974,153159,237
"Kansas City, Kansas",39.1234,-94.7443,152960,473
"Sunnyvale, California",37.3836,-122.0256,152703,2676
"Pomona, California",34.0585,-117.7626,151691,2548
"Escondido, California",33.1347,-117.0722,151625,1568
"Pasadena, Texas",29.6583,-95.1499,151227,1339
"New Bedford, Massachusetts",41.6697,-70.9428,149910.0,1840
"Fairfield, California",38.2592,-122.0324,148683.0,1097
"Naperville, Illinois",41.7483,-88.1657,148449,1476
"Bellevue, Washington",47.5951,-122.1535,148164,1709
"Binghamton, New York",42.1014,-75.9093,148145.0,1635
"Elkhart, Indiana",41.6916,-85.9628,147567.0,734
"Topeka, Kansas",39.0346,-95.6955,147458.0,787
"Joliet, Illinois",41.5189,-88.1499,147344,886
"Beaumont, Texas",30.0849,-94.1451,146091.0,547
"Paterson, New Jersey",40.9147,-74.1624,145233,6665
"Merced, California",37.3057,-120.4778,145149.0,1390
"Pueblo, Colorado",38.2705,-104.6112,143932.0,789
"Tyler, Texas",32.3184,-95.3062,143796.0,718
"Torrance, California",33.8346,-118.3417,143592,2701
"Metairie, Louisiana",29.9977,-90.1780,143481,2381
"Yuma, Arizona",32.5992,-114.5488,142847.0,313
"Surprise, Arizona",33.6800,-112.4524,141664,506
"Columbia, Missouri",38.9478,-92.3256,141645.0,725
"Athens, Georgia",33.9508,-83.3689,141532.0,421
"Roseville, California",38.7703,-121.3196,141500,1239
"Thornton, Colorado",39.9197,-104.9438,141464,1521
"Miramar, Florida",25.9773,-80.3351,141191,1889
"Pasadena, California",34.1597,-118.1390,141029,2371
"Mesquite, Texas",32.7623,-96.5889,140937,1151
"Santa Maria, California",34.9334,-120.4432,140545.0,1815
"Olathe, Kansas",38.8832,-94.8198,140545,880
"Houma, Louisiana",29.5799,-90.7058,140469.0,874
"Carolina, Puerto Rico",18.4054,-65.9792,140072,2611
"Carrollton, Texas",32.9890,-96.8999,139248,1466
"Grand Junction, Colorado",39.0876,-108.5673,139143.0,621
"Charleston, West Virginia",38.3484,-81.6323,138706.0,570
"Orange, California",33.8038,-117.8218,138669,2086
"Fullerton, California",33.8841,-117.9279,138632,2386
"Greeley, Colorado",40.4151,-104.7706,137810.0,858
"Las Cruces, New Mexico",32.3265,-106.7892,136254.0,519
"Panama City, Florida",30.1995,-85.6004,136133.0,382
"Harlingen, Texas",26.1917,-97.6976,136037.0,626
"West Valley City, Utah",40.6889,-112.0115,135248,1472
"Hampton, Virginia",37.0551,-76.3630,134510,1009
"Warren, Michigan",42.4934,-83.0270,133943,1505
"Mauldin, South Carolina",34.7849,-82.3005,133872.0,899
"Bloomington, Illinois",40.4757,-88.9703,133846.0,1100
"Coral Springs, Florida",26.2702,-80.2591,133759,2258
"Round Rock, Texas",30.5254,-97.6660,133372,1421
"Yakima, Washington",46.5923,-120.5496,133191.0,1300
"Sterling Heights, Michigan",42.5809,-83.0305,132438,1403
"Kent, Washington",47.3887,-122.2129,132319,1513
"Burlington, North Carolina",36.0758,-79.4686,131043.0,707
"Bellingham, Washington",48.7543,-122.4687,130641.0,1287
"Santa Clara, California",37.3645,-121.9680,130365,2761
"Racine, Wisconsin",42.7274,-87.8135,130142.0,1915
"Greenville, North Carolina",35.5956,-77.3768,130118.0,1012
"Stamford, Connecticut",41.1035,-73.5583,129638,1330
"Elizabeth, New Jersey",40.6657,-74.1912,129216,4049
"Johnson City, Tennessee",36.3406,-82.3803,127571.0,599
"Lynchburg, Virginia",37.4003,-79.1909,126814.0,647
"Simi Valley, California",34.2663,-118.7490,126589.0,1167
"Fort Smith, Arkansas",35.3493,-94.3695,125354.0,536
"Kenosha, Wisconsin",42.5864,-87.8765,124972.0,1378
"South Lyon, Michigan",42.4614,-83.6526,124694.0,1219
"Boulder, Colorado",40.0249,-105.2523,124345.0,1551
"Pearland, Texas",29.5585,-95.3215,122460,981
"Berkeley, California",37.8723,-122.2760,121363,4473
"Richardson, Texas",32.9717,-96.7093,121323,1639
"Redding, California",40.5698,-122.3650,121313.0,599
"Arvada, Colorado",39.8321,-105.1511,121272,1207
"St. George, Utah",37.0770,-113.5770,120899.0,449
"Billings, Montana",45.7891,-108.5524,120728.0,948
"Yuba City, California",39.1357,-121.6381,120456.0,1736
"Rochester, Minnesota",44.0151,-92.4778,119942.0,831
"East Los Angeles, California",34.0326,-118.1691,119827,6212
"Leominster, Massachusetts",42.5209,-71.7717,119690.0,558
"Kingsport, Tennessee",36.5224,-82.5453,119666.0,397
"Duluth, Minnesota",46.7756,-92.1392,119476.0,461
"Lehigh Acres, Florida",26.6120,-81.6388,119205,496
"Rock Hill, South Carolina",34.9416,-81.0244,119105.0,750
"Gilroy, California",37.0047,-121.5855,118993.0,1378
"Cambridge, Massachusetts",42.3759,-71.1185,118927,7182
"Sugar Land, Texas",29.5935,-95.6357,118488,1130
"Texas City, Texas",29.4128,-94.9658,118169.0,300
"Iowa City, Iowa",41.6559,-91.5303,118041.0,1133
"Saginaw, Michigan",43.4199,-83.9501,117958.0,1087
"Chico, California",39.7575,-121.8152,117668.0,1191
"Dover, Delaware",39.1610,-75.5203,117282.0,622
"Norman, Oklahoma",35.2335,-97.3471,116973.0,269
"Clearwater, Florida",27.9789,-82.7622,116946,1731
"Coeur d'Alene, Idaho",47.7041,-116.7935,116834.0,1260
"Ponce, Puerto Rico",18.0120,-66.6198,116796,1469
"Seaside, California",36.6224,-121.8191,116720.0,1410
"Independence, Missouri",39.0871,-94.3501,116672,577
"West Jordan, Utah",40.6024,-112.0008,116480,1391
"Abilene, Texas",32.4543,-99.7384,116412.0,446
"Bloomington, Indiana",39.1637,-86.5257,115884.0,1424
"El Monte, California",34.0739,-118.0291,115487,4663
"Carlsbad, California",33.1247,-117.2837,115382,1180
"North Charleston, South Carolina",32.9066,-80.0722,115382,574
"St. Cloud, Minnesota",45.5339,-94.1718,115028.0,660
"Temecula, California",33.4928,-117.1315,114761,1188
"Clovis, California",36.8278,-119.6831,114584,1741
"Meridian, Idaho",43.6112,-116.3968,114161,1297
"Brandon, Florida",27.9367,-82.3000,113279,1319
"Westminster, Colorado",39.8837,-105.0624,113166,1383
"Costa Mesa, California",33.6667,-117.9135,113003,2762
"Monroe, Louisiana",32.5183,-92.0774,112891.0,623
"Utica, New York",43.0961,-75.2260,112650.0,1376
"Pompano Beach, Florida",26.2428,-80.1312,112118,1802
"West Palm Beach, Florida",26.7468,-80.1316,111955,803
"Waterloo, Iowa",42.4920,-92.3522,111631.0,423
"Everett, Washington",47.9525,-122.1669,111475,1296
"El Centro, California",32.7867,-115.5586,111425.0,1478
"Santa Fe, New Mexico",35.6619,-105.9819,111269.0,625
"Downey, California",33.9379,-118.1312,111126,3457
"Lowell, Massachusetts",42.6389,-71.3217,110997,3149
"Centennial, Colorado",39.5926,-104.8674,110937,1448
"Elgin, Illinois",42.0385,-88.3229,110849,1141
"Richmond, California",37.9477,-122.3390,110567,1420
"Broken Arrow, Oklahoma",36.0365,-95.7809,110198,688
"Miami Gardens, Florida",25.9433,-80.2426,110001,2329
"The Woodlands, Texas",30.1738,-95.5134,109843,981
"Bend, Oregon",44.0562,-121.3087,109802.0,1171
"Burlington, Vermont",44.4877,-73.2314,109763.0,1604
"Jurupa Valley, California",34.0010,-117.4705,109527,984
"Sandy Springs, Georgia",33.9366,-84.3703,109452,1122
"Gresham, Oregon",45.5023,-122.4413,109381,1808
"Lewisville, Texas",33.0452,-96.9823,109212,1148
"Hillsboro, Oregon",45.5272,-122.9361,109128,1640
"San Buenaventura, California",34.2741,-119.2314,109106,1925
"Jacksonville, North Carolina",34.7288,-77.3941,108856.0,574
"Pottstown, Pennsylvania",40.2507,-75.6444,108758.0,1798
"Inglewood, California",33.9566,-118.3444,108151,4604
"Spring Hill, Florida",28.4797,-82.5300,107855,695
"League City, Texas",29.4873,-95.1087,107536,809
"Eau Claire, Wisconsin",44.8199,-91.4949,107404.0,812
"Turlock, California",37.5053,-120.8588,107317.0,1679
"Temple, Texas",31.1076,-97.3894,107258.0,429
"Sioux City, Iowa",42.4959,-96.3901,106455.0,545
"Salisbury, Maryland",38.3756,-75.5867,106447.0,927
"Davie, Florida",26.0789,-80.2870,106306,1175
"Daly City, California",37.6862,-122.4685,106280,5370
"Allen, Texas",33.1088,-96.6735,105623,1544
"Highlands Ranch, Colorado",39.5419,-104.9708,105147,1672
"West Covina, California",34.0555,-117.9112,105101,2529
"Sparks, Nevada",39.5729,-119.7157,105006,1131
"San Mateo, California",37.5521,-122.3122,104430,3312
"Norwalk, California",33.9069,-118.0829,103949,4133
"Columbia, Maryland",39.2004,-76.8590,103663,1253
"Rialto, California",34.1174,-117.3894,103526,1665
"Manteca, California",37.7927,-121.2264,103420.0,1498
"El Cajon, California",32.8017,-116.9605,102708,2732
"Burbank, California",34.1879,-118.3235,102511,2285
"Longmont, Colorado",40.1686,-105.1005,102474.0,1306
"Renton, Washington",47.4784,-122.1919,101751,1676
"Vista, California",33.1896,-117.2386,101638,2093
"Logan, Utah",41.7400,-111.8419,101616.0,1126
"Prescott Valley, Arizona",34.5983,-112.3176,101539.0,439
"Vacaville, California",38.3590,-121.9680,101444.0,1330
"Edinburg, Texas",26.3197,-98.1596,101170,873
"Carmel, Indiana",39.9650,-86.1460,101068,795
"Spokane Valley, Washington",47.6626,-117.2346,101060,1034
"San Angelo, Texas",31.4424,-100.4506,100773.0,653
"La Crosse, Wisconsin",43.8240,-91.2268,100693.0,911
"Arden-Arcade, California",38.6034,-121.3810,100548,2184
"Idaho Falls, Idaho",43.4872,-112.0362,100442.0,1011
"Holland, Michigan",42.7677,-86.0985,100432.0,768
"Charlottesville, Virginia",38.0375,-78.4855,100416.0,1781
"Longview, Texas",32.5193,-94.7621,100330.0,565
"Tracy, California",37.7269,-121.4522,100049.0,1412
"Boca Raton, Florida",26.3752,-80.1080,99805,1320
"Lafayette, Colorado",39.9949,-105.0997,99645.0,1257
"Wichita Falls, Texas",33.9072,-98.5291,99557.0,561
"Rio Rancho, New Mexico",35.2872,-106.6981,99178,370
"South Fulton, Georgia",33.6269,-84.5802,99155,451
"Beaverton, Oregon",45.4779,-122.8168,99037,1952
"Lawrence, Kansas",38.9597,-95.2641,98648.0,1110
"Bismarck, North Dakota",46.8144,-100.7694,98345.0,827
"Orem, Utah",40.2983,-111.6992,97828,2044
"Middletown, Ohio",39.5032,-84.3660,97730.0,720
"San Marcos, California",33.1350,-117.1744,96664,1532
"Sandy, Utah",40.5710,-111.8505,96380,1544
