"city, province_name",utm easting,utm northing,zone number,zone letter,population,density
"Mont-Royal, Quebec",605979.8750003665,5041180.578492866,18,T,19503,2545.3
"Rivière-du-Loup, Quebec",460090.2844308313,5297910.151309714,19,T,19447,230.9
"Cobourg, Ontario",727287.7931405101,4872077.371331254,17,T,19440,869.3
"Cranbrook, British Columbia",589281.5445424633,5484850.056549519,11,U,19259,604.7
"Beaconsfield, Quebec",588645.5067138899,5031711.000722992,18,T,19115,1752.6
"Springwater, Ontario",600814.7136468698,4920780.589105646,17,T,19059,35.5
"Dorval, Quebec",597744.7909306064,5033701.57138634,18,T,18980,839.2
"Thorold, Ontario",646438.6899422368,4775346.726692528,17,T,18801,226.5
"Camrose, Alberta",377019.81468992744,5875700.16525253,12,U,18742,439.8
"South Frontenac, Ontario",381254.5019771541,4929394.234683562,18,T,18646,19.2
"Pitt Meadows, British Columbia",523055.8365371833,5453439.422398689,10,U,18573,214.7
"Port Colborne, Ontario",642910.9464744531,4749341.02923657,17,T,18306,150.1
"Quispamsis, New Brunswick",269548.13256298215,5035187.130359928,20,T,18245,318.9
"Mont-Saint-Hilaire, Quebec",641120.629486928,5046997.103437302,18,T,18200,410.9
"Bathurst, New Brunswick",300881.0293636588,5277468.855722156,20,T,18154,129.3
"Saint-Augustin-de-Desmaures, Quebec",311540.04179156857,5178482.329825876,19,T,18141,211.5
"Oak Bay, British Columbia",476119.6810766182,5363744.905641153,10,U,18094,1717.7
"Sainte-Marthe-sur-le-Lac, Quebec",583551.1884627199,5042386.194306099,18,T,18074,2066.7
"Salmon Arm, British Columbia",339550.4623116113,5619171.889810776,11,U,17706,144.0
"Port Alberni, British Columbia",368600.23497784615,5455025.700435945,10,U,17678,894.6
"Esquimalt, British Columbia",469323.58050560486,5364244.485694696,10,U,17655,2494.7
"Deux-Montagnes, Quebec",587192.6607573982,5042802.479347266,18,T,17553,2850.1
"Miramichi, New Brunswick",309462.60597864096,5210393.013821599,20,T,17537.00,97.70
"Niagara-on-the-Lake, Ontario",656522.1105818092,4790971.28950283,17,T,17511,131.8
"Saint-Lin--Laurentides, Quebec",595754.7895528108,5078121.191668931,18,T,17463,147.3
"Beaumont, Alberta",339302.8358390318,5914725.003813714,12,U,17396,1661.1
"Middlesex Centre, Ontario",463350.97054832755,4766465.48190303,17,T,17262,29.4
"Inverness, Nova Scotia",646589.3331247928,5118023.840457072,20,T,17235,4.5
