"city, province_name",x,y,population,density
"Kirkland, Quebec",-8222803.430579499,5692645.178123244,20151,2204.4
"L’Assomption, Quebec",-8172709.659722528,5753675.552376627,20065,202.9
"Westmount, Quebec",-8193114.522384935,5697930.805863978,19931,4952.8
"Saint-Lazare, Quebec",-8252481.206824988,5684714.657219866,19889,289.6
"Chestermere, Alberta",-12670662.740817381,6630142.913981801,19887,603.8
"Huntsville, Ontario",-8818362.706323514,5674146.259774846,19816,27.9
"Corner Brook, Newfoundland and Labrador",-6448292.823691166,6262771.923889106,19806.00,133.60
"Riverview, New Brunswick",-7214081.864756253,5790178.03578027,19667,554.8
"Lloydminster, Alberta",-12249040.169437857,7035089.549545498,19645.00,817.30
"Joliette, Quebec",-8176416.598765943,5783025.8109529335,19621,860.3
"Yellowknife, Northwest Territories",-12735539.7400517,8971674.239618843,19569.00,185.50
"Squamish, British Columbia",-13709986.0346597,6394774.911338044,19512,186.1
"Mont-Royal, Quebec",-8197912.392438126,5703140.124933636,19503,2545.3
"Rivière-du-Loup, Quebec",-7740411.549175928,6079166.565937235,19447,230.9
"Cobourg, Ontario",-8701477.240990577,5460290.376939037,19440,869.3
"Cranbrook, British Columbia",-12887090.094817664,6361793.5469031045,19259,604.7
"Beaconsfield, Quebec",-8222803.430579499,5689995.6027905,19115,1752.6
"Springwater, Ontario",-8875870.35526732,5532743.049360336,19059,35.5
"Dorval, Quebec",-8209812.446003926,5692645.178123244,18980,839.2
"Thorold, Ontario",-8816503.670827268,5329751.679578944,18801,226.5
"Camrose, Alberta",-12560545.500524674,6986087.566004182,18742,439.8
"South Frontenac, Ontario",-8515261.99679159,5544411.487002515,18646,19.2
"Pitt Meadows, British Columbia",-13657042.484838419,6314540.636662663,18573,214.7
"Port Colborne, Ontario",-8822069.645366931,5294225.752381418,18306,150.1
"Quispamsis, New Brunswick",-7341097.403751378,5689821.107390411,18245,318.9
"Mont-Saint-Hilaire, Quebec",-8147662.77429404,5710466.894883674,18200,410.9
"Bathurst, New Brunswick",-7308124.570578411,6043867.607760327,18154,129.3
"Saint-Augustin-de-Desmaures, Quebec",-7955636.6526756445,5898649.976783362,18141,211.5
"Oak Bay, British Columbia",-13728231.299200717,6178088.048672765,18094,1717.7
"Sainte-Marthe-sur-le-Lac, Quebec",-8229849.9543467155,5705348.648704846,18074,2066.7
"Salmon Arm, British Columbia",-13277320.569793485,6568784.450096998,17706,144.0
"Port Alberni, British Columbia",-13893229.048454508,6314642.9247046765,17678,894.6
"Esquimalt, British Columbia",-13738461.56040462,6178792.651083095,17655,2494.7
"Deux-Montagnes, Quebec",-8224651.33412667,5705873.054657281,17553,2850.1
"Miramichi, New Brunswick",-7292228.14729313,5945273.878304205,17537.00,97.70
"Niagara-on-the-Lake, Ontario",-8802221.380158491,5350912.19630165,17511,131.8
"Saint-Lin--Laurentides, Quebec",-8211671.481500173,5756344.112095583,17463,147.3
"Beaumont, Alberta",-12625266.652471885,7049345.517276242,17396,1661.1
"Middlesex Centre, Ontario",-9066972.525112133,5319585.456042694,17262,29.4
"Inverness, Nova Scotia",-6801620.887469015,5812457.491341966,17235,4.5
"Stony Plain, Alberta",-12691190.05491966,7080967.504519951,17189,481.2
"Petawawa, Ontario",-8603137.6028238,5764338.606003876,17187,103.1
"Pelham, Ontario",-8831342.558950009,5317041.820799643,17110,135.3
"Selwyn, Ontario",-8720023.068156736,5530155.555506982,17060,54.0
"Loyalist, Ontario",-8543770.918383745,5504212.120464131,16971,49.8
"Midland, Ontario",-8892568.27888631,5582249.59411092,16864,477.3
"Colwood, British Columbia",-13747489.571107956,6177618.346081407,16859,954.2
